time,unix_timestamp,bvp
,1.70777E+15,0
,1.70777E+15,-3.41E-06
,1.70777E+15,-4.73E-05
,1.70777E+15,-0.00027672
,1.70777E+15,-0.001007117
,1.70777E+15,-0.00268513
,1.70777E+15,-0.00574895
,1.70777E+15,-0.01047847
,1.70777E+15,-0.016918058
,1.70777E+15,-0.024891956
,1.70777E+15,-0.034085728
,1.70777E+15,-0.044158049
,1.70777E+15,-0.054849021
,1.70777E+15,-0.066038549
,1.70777E+15,-0.077728622
,1.70777E+15,-0.089997366
,1.70777E+15,-0.10299401
,1.70777E+15,-0.116950475
,1.70777E+15,-0.132106259
,1.70777E+15,-0.14851284
,1.70777E+15,-0.165816993
,1.70777E+15,-0.183154657
,1.70777E+15,-0.199207217
,1.70777E+15,-0.212377012
,1.70777E+15,-0.221012607
,1.70777E+15,-0.223651066
,1.70777E+15,-0.219265461
,1.70777E+15,-0.207457766
,1.70777E+15,-0.188499331
,1.70777E+15,-0.163226455
,1.70777E+15,-0.13295652
,1.70777E+15,-0.099536441
,1.70777E+15,-0.065440327
,1.70777E+15,-0.033738896
,1.70777E+15,-0.007796854
,1.70777E+15,0.009313166
,1.70777E+15,0.015480101
,1.70777E+15,0.010002062
,1.70777E+15,-0.006363258
,1.70777E+15,-0.031692043
,1.70777E+15,-0.063329294
,1.70777E+15,-0.09826456
,1.70777E+15,-0.133374721
,1.70777E+15,-0.165600538
,1.70777E+15,-0.192151263
,1.70777E+15,-0.210728422
,1.70777E+15,-0.219689742
,1.70777E+15,-0.218127668
,1.70777E+15,-0.205882907
,1.70777E+15,-0.183497548
,1.70777E+15,-0.152110189
,1.70777E+15,-0.113324642
,1.70777E+15,-0.069081724
,1.70777E+15,-0.021499664
,1.70777E+15,0.027368575
,1.70777E+15,0.075815886
,1.70777E+15,0.122661889
,1.70777E+15,0.167231545
,1.70777E+15,0.209174901
,1.70777E+15,0.2482844
,1.70777E+15,0.284420729
,1.70777E+15,0.317535579
,1.70777E+15,0.347719938
,1.70777E+15,0.375215232
,1.70777E+15,0.400365114
,1.70777E+15,0.423544377
,1.70777E+15,0.445102185
,1.70777E+15,0.465278387
,1.70777E+15,0.484033763
,1.70777E+15,0.500884295
,1.70777E+15,0.51495254
,1.70777E+15,0.525286555
,1.70777E+15,0.531216085
,1.70777E+15,0.532516003
,1.70777E+15,0.529384494
,1.70777E+15,0.522333145
,1.70777E+15,0.512029588
,1.70777E+15,0.499135017
,1.70777E+15,0.484191388
,1.70777E+15,0.467578053
,1.70777E+15,0.449535429
,1.70777E+15,0.430233181
,1.70777E+15,0.409838259
,1.70777E+15,0.388560325
,1.70777E+15,0.366692603
,1.70777E+15,0.344668925
,1.70777E+15,0.323144078
,1.70777E+15,0.30308637
,1.70777E+15,0.285813779
,1.70777E+15,0.272895396
,1.70777E+15,0.265933931
